weapon,hit/miss,damage

Short_Bow,Miss!,Dodged
Warhammer,Hit!,5
Sword,Hit!,3
Sword,Hit!,5
Sword,Hit!,3
Sword,Hit!,3
Warhammer,Miss!,Dodged
Warhammer,Hit!,7
Short_Bow,Miss!,Dodged
Short_Bow,Hit!,2

weapon,hit/miss,damage

Sword,Hit!,4
Sword,Miss!,Dodged
Short_Bow,Miss!,Dodged
Short_Bow,Miss!,Dodged
Short_Bow,Miss!,Dodged
Warhammer,Hit!,7
Halberd,Miss!,Dodged
Halberd,Hit!,18
Sword,Hit!,5
Sword,Hit!,5


weapon,hit/miss,damage

Warhammer,Hit!,5
Halberd,Hit!,16
Sword,Hit!,4
Halberd,Miss!,Dodged
Warhammer,Hit!,6
Warhammer,Hit!,7
Short_Bow,Hit!,3
Warhammer,Hit!,7
Short_Bow,Miss!,Dodged
Halberd,Miss!,Dodged

weapon,hit/miss,damage

Short_Bow,Miss!,Dodged
Halberd,Hit!,13
Halberd,Hit!,17
Short_Bow,Miss!,Dodged
Warhammer,Hit!,5
Halberd,Miss!,Dodged
Warhammer,Miss!,Dodged
Warhammer,Miss!,Dodged
Sword,Miss!,Dodged
Warhammer,Hit!,7
weapon,hit/miss,damage
Short_Bow,Hit!,1
Halberd,Hit!,15
Sword,Miss!,Dodged
Warhammer,Hit!,7
Warhammer,Hit!,7
Short_Bow,Hit!,2
Sword,Miss!,Dodged
Sword,Hit!,5
Sword,Miss!,Dodged
Halberd,Miss!,Dodged
weapon,hit/miss,damage
Warhammer,Hit!,5
Warhammer,Hit!,6
Sword,Hit!,5
Sword,Miss!,Dodged
Halberd,Hit!,10
Sword,Miss!,Dodged
Warhammer,Miss!,Dodged
Halberd,Miss!,Dodged
Short_Bow,Miss!,Dodged
Warhammer,Hit!,5
weapon,hit/miss,damage
Warhammer,Hit!,6
Halberd,Miss!,Dodged
Sword,Hit!,3
Sword,Hit!,2
Halberd,Hit!,17
Warhammer,Hit!,7
Short_Bow,Hit!,1
Halberd,Miss!,Dodged
Warhammer,Hit!,7
Halberd,Miss!,Dodged
weapon,hit/miss,damage
Warhammer,Miss!,Dodged
Short_Bow,Miss!,Dodged
Sword,Miss!,Dodged
Warhammer,Hit!,7
Sword,Hit!,4
Sword,Miss!,Dodged
Halberd,Miss!,Dodged
Halberd,Miss!,Dodged
Sword,Hit!,2
Warhammer,Hit!,6
